product_name,brand,price,category,market_name,image_url,link,query_date
Pack x24 cerveza clasica en lata de 500 cc,Mahou,19200,Cervezas,Jumbo,"https://i5.walmartimages.cl/asr/af7c27dc-d1c7-47f7-aabf-ee3b28200144.c060d2583a4b150bf656aa32e9acc97f.jpeg?odnHeight=290&odnWidth=290&odnBg=FFFFFF 1x, https://i5.walmartimages.cl/asr/af7c27dc-d1c7-47f7-aabf-ee3b28200144.c060d2583a4b150bf656aa32e9acc97f.jpeg?odnHeight=580&odnWidth=580&odnBg=FFFFFF 2x",https://www.lider.cl/ip/cervezas/pack-x24-cerveza-clasica-en-lata-de-500-cc/00046920419362,2025-04-24 16:52:14
Pack x24 cerveza reserva 1985 botella de 330 cc,Alhambra,33600,Cervezas,Jumbo,"https://i5.walmartimages.cl/asr/f3ed2de3-dc81-4eec-ab97-65190d8df99d.0f4f3465f415d81c1f2d5c7019385e50.jpeg?odnHeight=290&odnWidth=290&odnBg=FFFFFF 1x, https://i5.walmartimages.cl/asr/f3ed2de3-dc81-4eec-ab97-65190d8df99d.0f4f3465f415d81c1f2d5c7019385e50.jpeg?odnHeight=580&odnWidth=580&odnBg=FFFFFF 2x",https://www.lider.cl/ip/cervezas/pack-x24-cerveza-reserva-1985-botella-de-330-cc/00046863336284,2025-04-24 16:52:14
"Pack x4 cerveza artesanal tipo apa 5,3° ibu 30 473 cc",Greed,12500,Cervezas,Jumbo,"https://i5.walmartimages.cl/asr/de3c6cc1-c0de-4d81-adc9-9905af510c31.ba67c4673908c9d6540e71da8701ec70.jpeg?odnHeight=290&odnWidth=290&odnBg=FFFFFF 1x, https://i5.walmartimages.cl/asr/de3c6cc1-c0de-4d81-adc9-9905af510c31.ba67c4673908c9d6540e71da8701ec70.jpeg?odnHeight=580&odnWidth=580&odnBg=FFFFFF 2x",https://www.lider.cl/ip/cervezas/pack-x4-cerveza-artesanal-tipo-apa-5-3-ibu-30-473-cc/00078811581841,2025-04-24 16:52:14
"Pack x4 tipo ambar 5,0° ibu 15 473 cc",Greed,12500,Cervezas,Jumbo,"https://i5.walmartimages.cl/asr/d64c8ad1-3a1d-43f0-80a6-19c97bd16950.3b927f71ccf5340ace1f7c05e6cf48d8.jpeg?odnHeight=290&odnWidth=290&odnBg=FFFFFF 1x, https://i5.walmartimages.cl/asr/d64c8ad1-3a1d-43f0-80a6-19c97bd16950.3b927f71ccf5340ace1f7c05e6cf48d8.jpeg?odnHeight=580&odnWidth=580&odnBg=FFFFFF 2x",https://www.lider.cl/ip/cervezas/pack-x4-tipo-ambar-5-0-ibu-15-473-cc/00072437360595,2025-04-24 16:52:14
Hidromiel 330 cc tradicional,Melicöl,4000,Cervezas,Jumbo,"https://i5.walmartimages.cl/asr/2e2ad9fc-0f6e-4aa1-a166-ee1eccfaa4af.777d4bd100df80a686cf641580c65268.jpeg?odnHeight=290&odnWidth=290&odnBg=FFFFFF 1x, https://i5.walmartimages.cl/asr/2e2ad9fc-0f6e-4aa1-a166-ee1eccfaa4af.777d4bd100df80a686cf641580c65268.jpeg?odnHeight=580&odnWidth=580&odnBg=FFFFFF 2x",https://www.lider.cl/ip/cervezas/hidromiel-330-cc-tradicional/00078115945732,2025-04-24 16:52:14
"Pack x4 cerveza artesanal tipo doble ipa 9,2° ibu 80 473 cc",Greed,15000,Cervezas,Jumbo,"https://i5.walmartimages.cl/asr/06144d81-a669-465f-a847-b604e62a7124.56b2e4207c9465999cfa637c6d9d5e8b.jpeg?odnHeight=290&odnWidth=290&odnBg=FFFFFF 1x, https://i5.walmartimages.cl/asr/06144d81-a669-465f-a847-b604e62a7124.56b2e4207c9465999cfa637c6d9d5e8b.jpeg?odnHeight=580&odnWidth=580&odnBg=FFFFFF 2x",https://www.lider.cl/ip/cervezas/pack-x4-cerveza-artesanal-tipo-doble-ipa-9-2-ibu-80-473-cc/00072437360600,2025-04-24 16:52:14
Cuello negro ambar pack (6) botellas,Cuello negro,16000,Cervezas,Jumbo,"https://i5.walmartimages.cl/asr/3f0971a9-6b42-4d24-bcfd-baaee32332a2.e42a0b9596af13c52569e2a1b292c855.jpeg?odnHeight=290&odnWidth=290&odnBg=FFFFFF 1x, https://i5.walmartimages.cl/asr/3f0971a9-6b42-4d24-bcfd-baaee32332a2.e42a0b9596af13c52569e2a1b292c855.jpeg?odnHeight=580&odnWidth=580&odnBg=FFFFFF 2x",https://www.lider.cl/ip/cervezas/cuello-negro-ambar-pack-6-botellas/00780467322001,2025-04-24 16:52:14
"Pack x12 cerveza artesanal - re.i.p.a., 5° (indian pale ale) - 475 ml",Anfiteatro,27840,Cervezas,Jumbo,"https://i5.walmartimages.cl/asr/5fef6795-b45a-48ec-9ddc-078a1c43bb75.bbca1380e0d3fc09726e606a0267d075.png?odnHeight=290&odnWidth=290&odnBg=FFFFFF 1x, https://i5.walmartimages.cl/asr/5fef6795-b45a-48ec-9ddc-078a1c43bb75.bbca1380e0d3fc09726e606a0267d075.png?odnHeight=580&odnWidth=580&odnBg=FFFFFF 2x",https://www.lider.cl/ip/packs/pack-x12-cerveza-artesanal-re-i-p-a-5-indian-pale-ale-475-ml/00073206483544,2025-04-24 16:52:20
"Pack x12 cerveza artesanal - arrayán, 5,5° (american pale ale) - 475 ml",Anfiteatro,27840,Cervezas,Jumbo,"https://i5.walmartimages.cl/asr/dceb10a8-6e58-4f27-a342-0e8a7595e2f7.12043987710bf34eb320a39b96716c9b.png?odnHeight=290&odnWidth=290&odnBg=FFFFFF 1x, https://i5.walmartimages.cl/asr/dceb10a8-6e58-4f27-a342-0e8a7595e2f7.12043987710bf34eb320a39b96716c9b.png?odnHeight=580&odnWidth=580&odnBg=FFFFFF 2x",https://www.lider.cl/ip/cervezas/pack-x12-cerveza-artesanal-arrayan-5-5-american-pale-ale-475-ml/00073206483541,2025-04-24 16:52:20
"Pack x12 cerveza artesanal - esperanza, 7° (strong chilean ale) - 475 ml",Anfiteatro,27840,Cervezas,Jumbo,"https://i5.walmartimages.cl/asr/4a33090e-d54a-4771-a3bb-f43113751f53.679dc8c5d91d2335dbe3bb772b5cc8f9.png?odnHeight=290&odnWidth=290&odnBg=FFFFFF 1x, https://i5.walmartimages.cl/asr/4a33090e-d54a-4771-a3bb-f43113751f53.679dc8c5d91d2335dbe3bb772b5cc8f9.png?odnHeight=580&odnWidth=580&odnBg=FFFFFF 2x",https://www.lider.cl/ip/packs/pack-x12-cerveza-artesanal-esperanza-7-strong-chilean-ale-475-ml/00073206483545,2025-04-24 16:52:20
